Ticker,Name,Sector,Industry,Price,MarketCap,ROE,DER,DivYield,PE_Ratio,PBV,Beta,Past24H
LIFE.JK,Asuransi Jiwa Syariah Jasa Mitra Abadi,Financial Services,Insurance - Life,6250.0,13124999577600,0.03433,0.157,1.66,47.680805,1.722668,0.198,7.76
SRTG.JK,Saratoga Investama Sedaya,Financial Services,Asset Management,1625.0,22018479095808,0.13229999,2.462,6.28,3.019997,0.3738884,0.334,-1.22
MLPL.JK,Multipolar,Consumer Cyclical,Department Stores,87.0,1358362443776,-0.00982,47.99,0.0,0.0,0.22437948,0.418,1.16
BHIT.JK,MNC Investama,Communication Services,Entertainment,30.0,2506282237952,0.03556,25.776,0.0,5.0933785,0.14909351,0.336,7.14
DNET.JK,Indoritel Makmur Internasional,Communication Services,Telecom Services,9750.0,138293995896832,0.0866,44.022,0.05,108.03324,8.956647,0.256,2.63
PNSE.JK,Pudjiadi and Sons,Consumer Cyclical,Resorts & Casinos,540.0,430819278848,-0.027420001,15.474,0.09,0.0,3.9589732,-0.127,1.89
MYRX.JK,Hanson International,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.61428076,0.0,0.0
IKAI.JK,Intikeramik Alamasri Industri,Industrials,Building Products & Equipment,20.0,266115989504,-0.09172,33.318,0.0,0.0,0.42552286,0.0,5.26
KPIG.JK,MNC Land,Real Estate,Real Estate Services,96.0,9586325061632,0.026199998,19.043,0.0,12.598425,0.3329553,0.502,6.67
RICY.JK,Ricky Putra Globalindo,Consumer Cyclical,Apparel Manufacturing,78.0,50053963776,-4.00083,492.026,0.0,0.0,0.1939324,0.444,-1.27
SSTM.JK,Sunson Textile Manufacturer,Consumer Cyclical,Textile Manufacturing,520.0,608872759296,-0.09060001,0.0,0.0,13.205008,2.7193239,0.0,7.0
POLU.JK,Golden Flower,Consumer Cyclical,Apparel Manufacturing,11175.0,8381250142208,-0.110530004,39.418,0.0,0.0,75.04483,-0.003,14.03
UNIT.JK,Nusantara Inti Corpora,N/A,N/A,0.0,23833415680,0.0,0.0,0.0,69.741776,0.17648742,0.0,0.0
TFCO.JK,Tifico Fiber Indonesia,Consumer Cyclical,Textile Manufacturing,600.0,2893845889024,-0.01648,0.383,0.0,0.0,9230.77,0.924,0.0
CNTX.JK,Century Textile Industry,Consumer Cyclical,Textile Manufacturing,142.0,28400001024,0.0,0.0,0.0,0.0,-871.16565,0.0,0.0
MLBI.JK,Multi Bintang Indonesia,Consumer Defensive,Beverages - Brewers,6050.0,12747350736896,0.78598,6.596,8.81,10.454106,8.035799,0.045,-1.63
DLTA.JK,Delta Djakarta,Consumer Defensive,Beverages - Brewers,1955.0,1565288431616,0.18124,0.716,8.89,10.34118,1.968379,0.0,1.03
SKBM.JK,Sekar Bumi,Consumer Defensive,Packaged Foods,575.0,994809348096,0.1146,59.608,0.0,8.582089,0.9975261,0.539,11.65
